timestamp,dest,src,rssi
1712350420.674045,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-63
1712350420.696395,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-60
1712350420.7014418,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-60
1712350420.7124681,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-63
1712350420.7461574,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61
1712350420.7700093,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61
1712350421.091386,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-63
1712350421.1611722,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-60
1712350421.1710935,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-64
1712350421.2076206,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-62
1712350421.2178593,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-64
1712350421.2574785,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61
