#timestamp x y z qx qy qz qw
1716306459.268638 -1.942624 -4.296607 0.249045 0.631316 -0.313287 -0.448519 0.549656
1716306459.868722 -1.934262 -4.352665 0.186080 0.651980 -0.231153 -0.532513 0.487770
1716306460.268779 -1.930096 -4.390085 0.140105 0.664373 -0.173989 -0.569265 0.451967
1716306460.668835 -1.934543 -4.423343 0.102534 0.669055 -0.137717 -0.594252 0.424575
1716306461.268919 -1.991040 -4.468847 0.076844 0.660424 -0.127182 -0.628753 0.390301
1716306461.869004 -2.083545 -4.629043 0.078394 -0.640836 0.146566 0.648616 -0.383596
1716306462.269060 -2.172138 -4.722913 0.093143 0.651585 -0.208216 -0.630578 0.366679
1716306462.669116 -2.246399 -4.767773 0.094040 0.669009 -0.224255 -0.590931 0.391073
1716306463.069173 -2.388782 -4.790990 0.139790 0.665229 -0.247022 -0.518595 0.476981
1716306463.469228 -2.484186 -4.788533 0.180564 0.662365 -0.266897 -0.440583 0.543989
1716306464.069312 -2.500598 -4.690399 0.228741 0.621530 -0.339562 -0.366334 0.603488
1716306464.669395 -2.524177 -4.606688 0.265622 0.594165 -0.408527 -0.332185 0.608052
1716306465.069451 -2.532155 -4.560094 0.285399 0.559943 -0.455597 -0.311197 0.618103
1716306465.469507 -2.545855 -4.526398 0.297649 0.536464 -0.481027 -0.283099 0.632989
1716306465.869563 -2.574761 -4.498304 0.312550 0.522202 -0.503415 -0.236977 0.646313
1716306466.469646 -2.617437 -4.451911 0.319554 0.465361 -0.550003 -0.165195 0.673533
1716306466.869702 -2.690224 -4.499236 0.325502 0.443953 -0.575982 -0.174130 0.663949
1716306467.269757 -2.797761 -4.575162 0.331794 0.432934 -0.568707 -0.194172 0.671891
1716306467.869840 -2.901227 -4.686493 0.313632 0.494364 -0.537235 -0.304188 0.611925
1716306468.269895 -2.901048 -4.792564 0.281091 0.530965 -0.485333 -0.384271 0.578674
1716306468.669950 -2.902932 -4.900150 0.272590 0.521093 -0.459567 -0.441460 0.567779
1716306469.270032 -2.913356 -4.998561 0.213261 0.614451 -0.375020 -0.477926 0.503386
1716306469.670087 -2.986967 -5.022206 0.181594 0.665549 -0.280483 -0.484714 0.493383
1716306470.070143 -3.087494 -5.022456 0.138870 0.684281 -0.193680 -0.501764 0.492423
1716306470.470198 -3.147699 -4.969222 0.139289 0.707379 -0.159988 -0.469489 0.503586
1716306470.870253 -3.189908 -4.859992 0.123961 0.715971 -0.103642 -0.444298 0.528435
1716306471.470335 -3.309167 -4.801260 0.123536 0.720639 -0.081068 -0.449496 0.521595
1716306471.870390 -3.508451 -4.845496 0.119170 0.703704 -0.117781 -0.483423 0.507179
1716306472.070417 -3.600306 -4.863242 0.104032 0.694234 -0.111183 -0.502828 0.502833
1716306472.470473 -3.696258 -4.834107 0.116796 0.695160 -0.119442 -0.508568 0.493806
1716306472.870527 -3.745313 -4.764126 0.096670 0.693477 -0.116002 -0.537567 0.465462
1716306473.270582 -3.833707 -4.689803 0.102316 0.686612 -0.161554 -0.564952 0.428127
1716306473.870663 -3.992843 -4.624609 0.161373 0.670026 -0.245428 -0.517229 0.472552
1716306474.270718 -4.145513 -4.590303 0.193806 0.652487 -0.282665 -0.454463 0.536493
1716306474.670772 -4.213989 -4.556839 0.241457 0.648116 -0.344999 -0.381817 0.561371
1716306475.070826 -4.220611 -4.505356 0.260385 0.624769 -0.389153 -0.358474 0.574213
1716306475.870935 -4.241965 -4.490711 0.260232 0.611710 -0.412177 -0.334013 0.586818
1716306476.471017 -4.367548 -4.588258 0.299213 0.577713 -0.436665 -0.262055 0.637887
1716306476.871070 -4.445033 -4.614292 0.316505 0.546683 -0.463498 -0.146970 0.681695
1716306477.671178 -4.484512 -4.639789 0.313932 0.540434 -0.480123 -0.096901 0.684122
1716306478.271260 -4.460506 -4.665959 0.310379 0.458858 -0.539793 -0.107515 0.697505
1716306478.671314 -4.419152 -4.728189 0.301639 0.409337 -0.576156 -0.202516 0.677846
1716306479.071368 -4.415103 -4.801758 0.296286 0.422311 -0.561189 -0.293773 0.648396
1716306479.671449 -4.529424 -4.916465 0.295030 0.500071 -0.496519 -0.379507 0.599477
1716306480.071502 -4.639874 -4.967553 0.283158 0.541258 -0.446105 -0.407619 0.584703
1716306480.471556 -4.699009 -5.011877 0.252317 0.588075 -0.382300 -0.442024 0.559133
1716306481.071636 -4.741774 -5.050354 0.217795 0.597249 -0.363375 -0.504752 0.506436
1716306481.471690 -4.738682 -5.155353 0.171042 0.652169 -0.288297 -0.521187 0.468961
1716306481.871744 -4.728936 -5.257483 0.147220 0.659990 -0.236331 -0.549401 0.454664
1716306482.271797 -4.759264 -5.313852 0.117234 0.694313 -0.186655 -0.557783 0.414691
1716306482.671850 -4.845256 -5.311347 0.114085 0.699478 -0.130576 -0.539114 0.450596
1716306483.071905 -4.949319 -5.292368 0.103166 0.704677 -0.097814 -0.533083 0.457915
1716306483.471958 -5.026834 -5.262653 0.100644 0.702061 -0.139287 -0.546440 0.434872
1716306484.072038 -5.070691 -5.183926 0.037204 0.708199 -0.125413 -0.525422 0.454597
1716306484.472092 -5.043986 -5.223932 -0.083301 0.717167 -0.108872 -0.490752 0.482681
1716306484.672119 -5.026699 -5.240582 -0.175384 0.703298 -0.095044 -0.509904 0.486145
1716306485.072171 -4.978965 -5.213758 -0.303466 0.731339 -0.051763 -0.461629 0.499362
1716306485.272198 -4.963367 -5.194825 -0.337989 0.743034 -0.065528 -0.427387 0.510829
