timestamp,dest,src,rssi
1710891321.6705122,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.35
1710891321.8382828,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.45
1710891321.8517342,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.5
1710891321.9428854,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.15
1710891321.958115,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.15
1710891322.1970944,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.0
1710891322.2994711,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.3
1710891322.5389476,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.0
1710891322.560031,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-60.8
1710891322.8035798,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-60.6
1710891323.2457101,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-60.3
1710891323.2808912,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-60.05
1710891324.3205895,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-59.3
1710891324.3458056,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-58.55
1710891325.2021987,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-58.05
1710891325.916151,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-57.05
1710891326.1482167,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-56.4
1710891326.3543437,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-56.15
1710891326.3772023,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-55.75
1710891326.8259172,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-55.2
1710891327.0398128,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-54.75
1710891327.237326,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-54.2
1710891327.4480484,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-53.9
1710891327.8765755,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-54.4
1710891328.2984157,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-54.6
1710891328.512568,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-54.6
1710891328.5382214,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-54.35
1710891328.7478917,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-54.4
1710891328.9449327,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-54.7
