timestamp,dest,src,rssi
1710891333.9504862,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.2
1710891334.38637,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.25
1710891334.4007447,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.1
1710891334.6371646,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.2
1710891334.8703754,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-60.8
1710891334.88592,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-60.4
1710891335.324433,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-60.1
1710891335.5389326,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-60.0
1710891335.9807038,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-59.9
1710891335.9967303,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-59.7
1710891336.2224016,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-59.65
1710891336.4363253,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-59.7
1710891336.8640406,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-59.7
1710891337.0772421,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-59.5
1710891337.5802336,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-59.4
1710891337.8098698,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-58.85
1710891337.8243415,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-57.95
1710891338.0428889,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-56.95
1710891338.0580115,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-56.15
1710891338.2806368,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-54.9
1710891338.510758,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-54.25
1710891338.7388585,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-53.2
1710891339.1755111,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-52.9
1710891339.3565893,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-52.8
1710891339.3901694,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-52.4
1710891339.6258981,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-52.4
1710891340.0738313,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-52.7
1710891340.085382,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-52.6
1710891340.3122597,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-52.8
1710891340.533066,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-52.95
1710891340.7477405,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-53.1
1710891340.9894683,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-53.15
1710891341.2066772,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-53.3
1710891341.4048727,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-53.75
1710891341.6047049,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-54.05
1710891341.6253943,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-54.7
1710891341.8515859,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-55.3
1710891342.0601554,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-56.3
1710891342.2837498,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-57.35
